name,driverId_Ref
French Grand Prix,prost
British Grand Prix,watson
German Grand Prix,piquet
Austrian Grand Prix,laffite
Dutch Grand Prix,prost
Italian Grand Prix,prost
Canadian Grand Prix,laffite
Caesars Palace Grand Prix,jones
Argentine Grand Prix,jones
Brazilian Grand Prix,arnoux
South African Grand Prix,arnoux
United States Grand Prix West,piquet
Belgian Grand Prix,pironi
Monaco Grand Prix,reutemann
French Grand Prix,jones
British Grand Prix,jones
German Grand Prix,laffite
Austrian Grand Prix,jabouille
Dutch Grand Prix,piquet
Italian Grand Prix,piquet
Canadian Grand Prix,jones
United States Grand Prix,jones
Argentine Grand Prix,laffite
Brazilian Grand Prix,laffite
South African Grand Prix,gilles_villeneuve
United States Grand Prix West,gilles_villeneuve
Spanish Grand Prix,depailler
Belgian Grand Prix,scheckter
Monaco Grand Prix,scheckter
French Grand Prix,jabouille
British Grand Prix,regazzoni
German Grand Prix,jones
Austrian Grand Prix,jones
Dutch Grand Prix,jones
Italian Grand Prix,scheckter
Canadian Grand Prix,jones
United States Grand Prix,gilles_villeneuve
Argentine Grand Prix,mario_andretti
Brazilian Grand Prix,reutemann
South African Grand Prix,peterson
United States Grand Prix West,reutemann
Monaco Grand Prix,depailler
Belgian Grand Prix,mario_andretti
Spanish Grand Prix,mario_andretti
Swedish Grand Prix,lauda
French Grand Prix,mario_andretti
British Grand Prix,reutemann
German Grand Prix,mario_andretti
Austrian Grand Prix,peterson
Dutch Grand Prix,mario_andretti
Italian Grand Prix,lauda
United States Grand Prix,reutemann
Canadian Grand Prix,gilles_villeneuve
Argentine Grand Prix,scheckter
Brazilian Grand Prix,reutemann
South African Grand Prix,lauda
United States Grand Prix West,mario_andretti
Spanish Grand Prix,mario_andretti
Monaco Grand Prix,scheckter
Belgian Grand Prix,nilsson
Swedish Grand Prix,laffite
French Grand Prix,mario_andretti
British Grand Prix,hunt
German Grand Prix,lauda
Austrian Grand Prix,jones
Dutch Grand Prix,lauda
Italian Grand Prix,mario_andretti
United States Grand Prix,hunt
Canadian Grand Prix,scheckter
Japanese Grand Prix,hunt
Brazilian Grand Prix,lauda
South African Grand Prix,lauda
United States Grand Prix West,regazzoni
Spanish Grand Prix,hunt
Belgian Grand Prix,lauda
Monaco Grand Prix,lauda
Swedish Grand Prix,scheckter
French Grand Prix,hunt
British Grand Prix,lauda
German Grand Prix,hunt
Austrian Grand Prix,watson
Dutch Grand Prix,hunt
Italian Grand Prix,peterson
Canadian Grand Prix,hunt
United States Grand Prix,hunt
Japanese Grand Prix,mario_andretti
Argentine Grand Prix,emerson_fittipaldi
Brazilian Grand Prix,pace
South African Grand Prix,scheckter
Spanish Grand Prix,mass
Monaco Grand Prix,lauda
Belgian Grand Prix,lauda
Swedish Grand Prix,lauda
Dutch Grand Prix,hunt
French Grand Prix,lauda
British Grand Prix,emerson_fittipaldi
German Grand Prix,reutemann
Austrian Grand Prix,brambilla
Italian Grand Prix,regazzoni
United States Grand Prix,lauda
Argentine Grand Prix,hulme
Brazilian Grand Prix,emerson_fittipaldi
South African Grand Prix,reutemann
Spanish Grand Prix,lauda
Belgian Grand Prix,emerson_fittipaldi
Monaco Grand Prix,peterson
Swedish Grand Prix,scheckter
Dutch Grand Prix,lauda
French Grand Prix,peterson
British Grand Prix,scheckter
German Grand Prix,regazzoni
Austrian Grand Prix,reutemann
Italian Grand Prix,peterson
Canadian Grand Prix,emerson_fittipaldi
United States Grand Prix,reutemann
Argentine Grand Prix,emerson_fittipaldi
Brazilian Grand Prix,emerson_fittipaldi
South African Grand Prix,stewart
Spanish Grand Prix,emerson_fittipaldi
Belgian Grand Prix,stewart
Monaco Grand Prix,stewart
Swedish Grand Prix,hulme
French Grand Prix,peterson
British Grand Prix,revson
Dutch Grand Prix,stewart
German Grand Prix,stewart
Austrian Grand Prix,peterson
Italian Grand Prix,peterson
Canadian Grand Prix,revson
United States Grand Prix,peterson
Argentine Grand Prix,stewart
South African Grand Prix,hulme
Spanish Grand Prix,emerson_fittipaldi
Monaco Grand Prix,beltoise
Belgian Grand Prix,emerson_fittipaldi
French Grand Prix,stewart
British Grand Prix,emerson_fittipaldi
German Grand Prix,ickx
Austrian Grand Prix,emerson_fittipaldi
Italian Grand Prix,emerson_fittipaldi
Canadian Grand Prix,stewart
United States Grand Prix,stewart
South African Grand Prix,mario_andretti
Spanish Grand Prix,stewart
Monaco Grand Prix,stewart
Dutch Grand Prix,ickx
French Grand Prix,stewart
British Grand Prix,stewart
German Grand Prix,stewart
Austrian Grand Prix,siffert
Italian Grand Prix,gethin
Canadian Grand Prix,stewart
United States Grand Prix,cevert
South African Grand Prix,jack_brabham
Spanish Grand Prix,stewart
Monaco Grand Prix,rindt
Belgian Grand Prix,rodriguez
Dutch Grand Prix,rindt
French Grand Prix,rindt
British Grand Prix,rindt
German Grand Prix,rindt
Austrian Grand Prix,ickx
Italian Grand Prix,regazzoni
Canadian Grand Prix,ickx
United States Grand Prix,emerson_fittipaldi
Mexican Grand Prix,ickx
South African Grand Prix,stewart
Spanish Grand Prix,stewart
Monaco Grand Prix,hill
Dutch Grand Prix,stewart
French Grand Prix,stewart
British Grand Prix,stewart
German Grand Prix,ickx
Italian Grand Prix,stewart
Canadian Grand Prix,ickx
United States Grand Prix,rindt
Mexican Grand Prix,hulme
South African Grand Prix,clark
Spanish Grand Prix,hill
Monaco Grand Prix,hill
Belgian Grand Prix,mclaren
Dutch Grand Prix,stewart
French Grand Prix,ickx
British Grand Prix,siffert
German Grand Prix,stewart
Italian Grand Prix,hulme
Canadian Grand Prix,hulme
United States Grand Prix,stewart
Mexican Grand Prix,hill
South African Grand Prix,rodriguez
Monaco Grand Prix,hulme
Dutch Grand Prix,clark
Belgian Grand Prix,gurney
French Grand Prix,jack_brabham
British Grand Prix,clark
German Grand Prix,hulme
Canadian Grand Prix,jack_brabham
Italian Grand Prix,surtees
United States Grand Prix,clark
Mexican Grand Prix,clark
Monaco Grand Prix,stewart
Belgian Grand Prix,surtees
French Grand Prix,jack_brabham
British Grand Prix,jack_brabham
Dutch Grand Prix,jack_brabham
German Grand Prix,jack_brabham
Italian Grand Prix,scarfiotti
United States Grand Prix,clark
Mexican Grand Prix,surtees
South African Grand Prix,clark
Monaco Grand Prix,hill
Belgian Grand Prix,clark
French Grand Prix,clark
British Grand Prix,clark
Dutch Grand Prix,clark
German Grand Prix,clark
Italian Grand Prix,stewart
United States Grand Prix,hill
Mexican Grand Prix,ginther
Monaco Grand Prix,hill
Dutch Grand Prix,clark
Belgian Grand Prix,clark
French Grand Prix,gurney
British Grand Prix,clark
German Grand Prix,surtees
Austrian Grand Prix,bandini
Italian Grand Prix,surtees
United States Grand Prix,hill
Mexican Grand Prix,gurney
Monaco Grand Prix,hill
Belgian Grand Prix,clark
Dutch Grand Prix,clark
French Grand Prix,clark
British Grand Prix,clark
German Grand Prix,surtees
Italian Grand Prix,clark
United States Grand Prix,hill
Mexican Grand Prix,clark
South African Grand Prix,clark
Dutch Grand Prix,hill
Monaco Grand Prix,mclaren
Belgian Grand Prix,clark
French Grand Prix,gurney
British Grand Prix,clark
German Grand Prix,hill
Italian Grand Prix,hill
United States Grand Prix,clark
South African Grand Prix,hill
Monaco Grand Prix,moss
Dutch Grand Prix,trips
Belgian Grand Prix,phil_hill
French Grand Prix,baghetti
British Grand Prix,trips
German Grand Prix,moss
Italian Grand Prix,phil_hill
United States Grand Prix,ireland
Argentine Grand Prix,mclaren
Monaco Grand Prix,moss
Indianapolis 500,rathmann
Dutch Grand Prix,jack_brabham
Belgian Grand Prix,jack_brabham
French Grand Prix,jack_brabham
British Grand Prix,jack_brabham
Portuguese Grand Prix,jack_brabham
Italian Grand Prix,phil_hill
United States Grand Prix,moss
Monaco Grand Prix,jack_brabham
Indianapolis 500,ward
Dutch Grand Prix,bonnier
French Grand Prix,brooks
British Grand Prix,jack_brabham
German Grand Prix,brooks
Portuguese Grand Prix,moss
Italian Grand Prix,moss
United States Grand Prix,mclaren
Argentine Grand Prix,moss
Monaco Grand Prix,trintignant
Dutch Grand Prix,moss
Indianapolis 500,bryan
Belgian Grand Prix,brooks
French Grand Prix,hawthorn
British Grand Prix,collins
German Grand Prix,brooks
Portuguese Grand Prix,moss
Italian Grand Prix,brooks
Moroccan Grand Prix,moss
Argentine Grand Prix,fangio
Monaco Grand Prix,fangio
Indianapolis 500,hanks
French Grand Prix,fangio
British Grand Prix,brooks
British Grand Prix,moss
German Grand Prix,fangio
Pescara Grand Prix,moss
Italian Grand Prix,moss
Argentine Grand Prix,musso
Argentine Grand Prix,fangio
Monaco Grand Prix,moss
Indianapolis 500,flaherty
Belgian Grand Prix,collins
French Grand Prix,collins
British Grand Prix,fangio
German Grand Prix,fangio
Italian Grand Prix,moss
Argentine Grand Prix,fangio
Monaco Grand Prix,trintignant
Indianapolis 500,sweikert
Belgian Grand Prix,fangio
Dutch Grand Prix,fangio
British Grand Prix,moss
Italian Grand Prix,fangio
Argentine Grand Prix,fangio
Indianapolis 500,vukovich
Belgian Grand Prix,fangio
French Grand Prix,fangio
British Grand Prix,gonzalez
German Grand Prix,fangio
Swiss Grand Prix,fangio
Italian Grand Prix,fangio
Spanish Grand Prix,hawthorn
Argentine Grand Prix,ascari
Indianapolis 500,vukovich
Dutch Grand Prix,ascari
Belgian Grand Prix,ascari
French Grand Prix,hawthorn
British Grand Prix,ascari
German Grand Prix,farina
Swiss Grand Prix,ascari
Italian Grand Prix,fangio
Swiss Grand Prix,taruffi
Indianapolis 500,ruttman
Belgian Grand Prix,ascari
French Grand Prix,ascari
British Grand Prix,ascari
German Grand Prix,ascari
Dutch Grand Prix,ascari
Italian Grand Prix,ascari
Swiss Grand Prix,fangio
Indianapolis 500,wallard
Belgian Grand Prix,farina
French Grand Prix,fagioli
French Grand Prix,fangio
British Grand Prix,gonzalez
German Grand Prix,ascari
Italian Grand Prix,ascari
Spanish Grand Prix,fangio
British Grand Prix,farina
Monaco Grand Prix,fangio
Indianapolis 500,parsons
Swiss Grand Prix,farina
Belgian Grand Prix,fangio
French Grand Prix,fangio
Italian Grand Prix,farina
Australian Grand Prix,vettel
Malaysian Grand Prix,vettel
Chinese Grand Prix,hamilton
Turkish Grand Prix,vettel
Spanish Grand Prix,vettel
Monaco Grand Prix,vettel
Canadian Grand Prix,button
European Grand Prix,vettel
British Grand Prix,alonso
German Grand Prix,hamilton
Hungarian Grand Prix,button
Belgian Grand Prix,vettel
Italian Grand Prix,vettel
Singapore Grand Prix,vettel
Japanese Grand Prix,button
Korean Grand Prix,vettel
Indian Grand Prix,vettel
Abu Dhabi Grand Prix,hamilton
Brazilian Grand Prix,webber
Australian Grand Prix,button
Malaysian Grand Prix,alonso
Chinese Grand Prix,rosberg
Bahrain Grand Prix,vettel
Spanish Grand Prix,maldonado
Monaco Grand Prix,webber
Canadian Grand Prix,hamilton
European Grand Prix,alonso
British Grand Prix,webber
German Grand Prix,alonso
Hungarian Grand Prix,hamilton
Belgian Grand Prix,button
Italian Grand Prix,hamilton
Singapore Grand Prix,vettel
Japanese Grand Prix,vettel
Korean Grand Prix,vettel
Indian Grand Prix,vettel
Abu Dhabi Grand Prix,raikkonen
United States Grand Prix,hamilton
Brazilian Grand Prix,button
Australian Grand Prix,raikkonen
Malaysian Grand Prix,vettel
Chinese Grand Prix,alonso
Bahrain Grand Prix,vettel
Spanish Grand Prix,alonso
Monaco Grand Prix,rosberg
Canadian Grand Prix,vettel
British Grand Prix,rosberg
German Grand Prix,vettel
Hungarian Grand Prix,hamilton
Belgian Grand Prix,vettel
Italian Grand Prix,vettel
Singapore Grand Prix,vettel
Korean Grand Prix,vettel
Japanese Grand Prix,vettel
Indian Grand Prix,vettel
Abu Dhabi Grand Prix,vettel
United States Grand Prix,vettel
Brazilian Grand Prix,vettel
Australian Grand Prix,rosberg
Malaysian Grand Prix,hamilton
Bahrain Grand Prix,hamilton
Chinese Grand Prix,hamilton
Spanish Grand Prix,hamilton
Monaco Grand Prix,rosberg
Canadian Grand Prix,ricciardo
Austrian Grand Prix,rosberg
British Grand Prix,hamilton
German Grand Prix,rosberg
Hungarian Grand Prix,ricciardo
Belgian Grand Prix,ricciardo
Italian Grand Prix,hamilton
Singapore Grand Prix,hamilton
Japanese Grand Prix,hamilton
Russian Grand Prix,hamilton
United States Grand Prix,hamilton
Brazilian Grand Prix,rosberg
Abu Dhabi Grand Prix,hamilton
Australian Grand Prix,hamilton
Malaysian Grand Prix,vettel
Chinese Grand Prix,hamilton
Bahrain Grand Prix,hamilton
Spanish Grand Prix,rosberg
Monaco Grand Prix,rosberg
Canadian Grand Prix,hamilton
Austrian Grand Prix,rosberg
British Grand Prix,hamilton
Hungarian Grand Prix,vettel
Belgian Grand Prix,hamilton
Italian Grand Prix,hamilton
