qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
199,27,10,glock,7,toyota,12,11,01:15.6,01:15.5,NULL,75560,75508,0,,
200,27,2,heidfeld,2,bmw_sauber,3,12,01:15.6,01:15.6,NULL,75596,75581,0,,
201,27,3,rosberg,3,williams,7,13,01:15.9,01:15.6,NULL,75863,75633,0,,
202,27,18,button,11,honda,16,14,01:16.0,01:15.7,NULL,75993,75701,0,,
203,27,7,bourdais,5,toro_rosso,14,15,01:15.9,01:15.9,NULL,75927,75858,0,,
204,27,6,nakajima,3,williams,8,16,01:16.1,,NULL,76083,0,0,,
205,27,12,piquet_jr,4,renault,6,17,01:16.2,,NULL,76189,0,0,,
206,27,22,barrichello,11,honda,17,18,01:16.2,,NULL,76246,0,0,,
207,27,16,sutil,10,force_india,20,19,01:16.7,,NULL,76657,0,0,,
208,27,21,fisichella,10,force_india,21,20,01:17.0,,NULL,76963,0,0,,
209,28,1,hamilton,1,mclaren,22,1,01:19.4,01:19.5,01:20.9,79376,79473,80899,,
210,28,5,kovalainen,1,mclaren,23,2,01:19.9,01:19.5,01:21.1,79945,79480,81140,,
211,28,13,massa,6,ferrari,2,3,01:19.6,01:19.1,01:21.2,79578,79068,81191,,
212,28,9,kubica,2,bmw_sauber,4,4,01:20.1,01:19.8,01:21.3,80053,79776,81281,,
213,28,10,glock,7,toyota,12,5,01:20.0,01:19.2,01:21.3,79980,79246,81326,,
214,28,8,raikkonen,6,ferrari,1,6,01:20.0,01:19.5,01:21.5,80006,79546,81516,,
215,28,4,alonso,4,renault,5,7,01:20.2,01:19.8,01:21.7,80229,79816,81698,,
216,28,17,webber,9,red_bull,10,8,01:20.1,01:20.0,01:21.7,80073,80046,81732,,
217,28,15,trulli,7,toyota,11,9,01:19.9,01:19.5,01:21.8,79942,79486,81767,,
218,28,12,piquet_jr,4,renault,6,10,01:20.6,01:20.1,01:22.4,80583,80131,82371,,
219,28,20,vettel,5,toro_rosso,15,11,01:20.2,01:20.1,NULL,80157,80144,0,,
220,28,18,button,11,honda,16,12,01:20.9,01:20.3,NULL,80888,80332,0,,
221,28,14,coulthard,9,red_bull,9,13,01:20.5,01:20.5,NULL,80505,80502,0,,
222,28,7,bourdais,5,toro_rosso,14,14,01:20.6,01:21.0,NULL,80640,80963,0,,
223,28,3,rosberg,3,williams,7,15,01:20.7,,NULL,80748,0,0,,
224,28,2,heidfeld,2,bmw_sauber,3,16,01:21.0,,NULL,81045,0,0,,
225,28,6,nakajima,3,williams,8,17,01:21.1,,NULL,81085,0,0,,
226,28,22,barrichello,11,honda,17,18,01:21.3,,NULL,81332,0,0,,
227,28,21,fisichella,10,force_india,21,19,01:21.7,,NULL,81670,0,0,,
